id,identifier,generation_id,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,contest_type_id,contest_effect_id,super_contest_effect_id
417,nasty-plot,4,17,0,20,0,0,7,1,54,0,3,0,11
418,bullet-punch,4,9,40,30,100,1,10,2,104,0,4,0,1
419,avalanche,4,15,60,10,100,-4,10,2,186,0,1,0,15
420,ice-shard,4,15,40,30,100,1,10,2,104,0,2,0,1
421,shadow-claw,4,8,70,15,100,0,10,2,44,0,3,0,17
422,thunder-fang,4,13,65,15,95,0,10,2,276,10,4,0,5
423,ice-fang,4,15,65,15,95,0,10,2,275,10,1,0,5
424,fire-fang,4,10,65,15,95,0,10,2,274,10,2,0,5
425,shadow-sneak,4,8,40,30,100,1,10,2,104,0,4,0,1
426,mud-bomb,4,5,65,10,85,0,10,3,74,30,4,0,18
427,psycho-cut,4,14,70,20,100,0,10,2,44,0,1,0,17
428,zen-headbutt,4,14,80,15,90,0,10,2,32,20,2,0,18
429,mirror-shot,4,9,65,10,85,0,10,3,74,30,3,0,17
430,flash-cannon,4,9,80,10,100,0,10,3,73,10,4,0,17
431,rock-climb,4,1,90,20,85,0,10,2,77,20,1,0,18
432,defog,4,3,0,15,0,0,10,1,259,0,2,0,13
433,trick-room,4,14,0,5,0,-7,12,1,260,0,3,0,14
434,draco-meteor,4,16,130,5,90,0,10,3,205,100,4,0,22
435,discharge,4,13,80,15,100,0,9,3,7,30,1,0,17
436,lava-plume,4,10,80,15,100,0,9,3,5,30,5,0,17
437,leaf-storm,4,12,130,5,90,0,10,3,205,100,3,0,22
438,power-whip,4,12,120,10,85,0,10,2,1,0,2,0,5
439,rock-wrecker,4,6,150,5,90,0,10,2,81,0,5,0,22
440,cross-poison,4,4,70,20,100,0,10,2,210,10,1,0,5
441,gunk-shot,4,4,120,5,80,0,10,2,3,30,1,0,5
442,iron-head,4,9,80,15,100,0,10,2,32,30,5,0,18
443,magnet-bomb,4,9,60,20,0,0,10,2,18,0,1,0,5
444,stone-edge,4,6,100,5,80,0,10,2,44,0,5,0,4
445,captivate,4,1,0,20,100,0,11,1,266,0,2,0,19
446,stealth-rock,4,6,0,20,0,0,6,1,267,0,1,0,13
447,grass-knot,4,12,0,20,100,0,10,3,197,0,4,0,4
448,chatter,4,3,65,20,100,0,10,3,268,100,4,0,23
449,judgment,4,1,100,10,100,0,10,3,269,0,4,0,14
450,bug-bite,4,7,60,20,100,0,10,2,225,0,5,0,12
451,charge-beam,4,13,50,10,90,0,10,3,277,70,2,0,17
452,wood-hammer,4,12,120,15,100,0,10,2,199,0,5,0,18
453,aqua-jet,4,11,40,20,100,1,10,2,104,0,2,0,1
454,attack-order,4,7,90,15,100,0,10,2,44,0,4,0,4
455,defend-order,4,7,0,10,0,0,7,1,207,0,4,0,11
456,heal-order,4,7,0,10,0,0,7,1,33,0,4,0,8
457,head-smash,4,6,150,5,80,0,10,2,270,0,5,0,22
458,double-hit,4,1,35,10,90,0,10,2,45,0,4,0,7
459,roar-of-time,4,16,150,5,90,0,10,3,81,0,1,0,22
460,spacial-rend,4,16,100,5,95,0,10,3,44,0,5,0,4
461,lunar-dance,4,14,0,10,0,0,7,1,271,0,2,0,8
462,crush-grip,4,1,0,5,100,0,10,2,238,0,5,0,15
463,magma-storm,4,10,100,5,75,0,10,3,43,100,5,0,7
464,dark-void,4,17,0,10,50,0,11,1,2,0,4,0,19
465,seed-flare,4,12,120,5,85,0,10,3,272,40,1,0,22
466,ominous-wind,4,8,60,5,100,0,10,3,141,10,4,0,11
467,shadow-force,4,8,120,5,100,0,10,2,273,0,4,0,22
468,hone-claws,5,17,0,15,0,0,7,1,278,0,0,0,0
469,wide-guard,5,6,0,10,0,3,4,1,279,0,0,0,0
470,guard-split,5,14,0,10,0,0,10,1,280,0,0,0,0
471,power-split,5,14,0,10,0,0,10,1,281,0,0,0,0
472,wonder-room,5,14,0,10,0,0,12,1,282,0,0,0,0
473,psyshock,5,14,80,10,100,0,10,3,283,0,0,0,0
474,venoshock,5,4,65,10,100,0,10,3,284,0,0,0,0
475,autotomize,5,9,0,15,0,0,7,1,285,0,0,0,0
476,rage-powder,5,7,0,20,0,2,7,1,173,0,0,0,0
477,telekinesis,5,14,0,15,0,0,10,1,286,0,0,0,0
478,magic-room,5,14,0,10,0,0,12,1,287,0,0,0,0
479,smack-down,5,6,50,15,100,0,10,2,288,100,0,0,0
480,storm-throw,5,2,60,10,100,0,10,2,289,0,0,0,0
481,flame-burst,5,10,70,15,100,0,10,3,290,0,0,0,0
482,sludge-wave,5,4,95,10,100,0,9,3,3,10,0,0,0
483,quiver-dance,5,7,0,20,0,0,7,1,291,0,0,0,0
484,heavy-slam,5,9,0,10,100,0,10,2,292,0,0,0,0
485,synchronoise,5,14,120,10,100,0,9,3,293,0,0,0,0
486,electro-ball,5,13,0,10,100,0,10,3,294,0,0,0,0
487,soak,5,11,0,20,100,0,10,1,295,0,0,0,0
488,flame-charge,5,10,50,20,100,0,10,2,296,100,0,0,0
489,coil,5,4,0,20,0,0,7,1,323,0,0,0,0
490,low-sweep,5,2,65,20,100,0,10,2,21,100,0,0,0
491,acid-spray,5,4,40,20,100,0,10,3,297,100,0,0,0
492,foul-play,5,17,95,15,100,0,10,2,298,0,0,0,0
493,simple-beam,5,1,0,15,100,0,10,1,299,0,0,0,0
494,entrainment,5,1,0,15,100,0,10,1,300,0,0,0,0
495,after-you,5,1,0,15,0,0,10,1,301,0,0,0,0
496,round,5,1,60,15,100,0,10,3,302,0,0,0,0
497,echoed-voice,5,1,40,15,100,0,10,3,303,0,0,0,0
498,chip-away,5,1,70,20,100,0,10,2,304,0,0,0,0
499,clear-smog,5,4,50,15,0,0,10,3,305,0,0,0,0
500,stored-power,5,14,20,10,100,0,10,3,306,0,0,0,0
501,quick-guard,5,2,0,15,0,3,4,1,307,0,0,0,0
502,ally-switch,5,14,0,15,0,2,7,1,308,0,0,0,0
503,scald,5,11,80,15,100,0,10,3,5,30,0,0,0
504,shell-smash,5,1,0,15,0,0,7,1,309,0,0,0,0
505,heal-pulse,5,14,0,10,0,0,10,1,310,0,0,0,0
506,hex,5,8,65,10,100,0,10,3,311,0,0,0,0
507,sky-drop,5,3,60,10,100,0,10,2,312,0,0,0,0
508,shift-gear,5,9,0,10,0,0,7,1,313,0,0,0,0
509,circle-throw,5,2,60,10,90,-6,10,2,314,0,0,0,0
510,incinerate,5,10,60,15,100,0,11,3,315,0,0,0,0
511,quash,5,17,0,15,100,0,10,1,316,0,0,0,0
512,acrobatics,5,3,55,15,100,0,10,2,318,0,0,0,0
513,reflect-type,5,1,0,15,0,0,10,1,319,0,0,0,0
514,retaliate,5,1,70,5,100,0,10,2,320,0,0,0,0
515,final-gambit,5,2,0,5,100,0,10,3,321,0,0,0,0
516,bestow,5,1,0,15,0,0,10,1,324,0,0,0,0
517,inferno,5,10,100,5,50,0,10,3,5,100,0,0,0
518,water-pledge,5,11,80,10,100,0,10,3,325,0,0,0,0
519,fire-pledge,5,10,80,10,100,0,10,3,326,0,0,0,0
520,grass-pledge,5,12,80,10,100,0,10,3,327,0,0,0,0
521,volt-switch,5,13,70,20,100,0,10,3,229,0,0,0,0
522,struggle-bug,5,7,50,20,100,0,11,3,72,100,0,0,0
523,bulldoze,5,5,60,20,100,0,9,2,71,100,0,0,0
524,frost-breath,5,15,60,10,90,0,10,3,289,100,0,0,0
525,dragon-tail,5,16,60,10,90,-6,10,2,314,0,0,0,0
526,work-up,5,1,0,30,0,0,7,1,328,0,0,0,0
527,electroweb,5,13,55,15,95,0,11,3,21,100,0,0,0
528,wild-charge,5,13,90,15,100,0,10,2,49,0,0,0,0
529,drill-run,5,5,80,10,95,0,10,2,44,0,0,0,0
530,dual-chop,5,16,40,15,90,0,10,2,45,0,0,0,0
531,heart-stamp,5,14,60,25,100,0,10,2,32,30,0,0,0
532,horn-leech,5,12,75,10,100,0,10,2,4,0,0,0,0
533,sacred-sword,5,2,90,15,100,0,10,2,304,0,0,0,0
534,razor-shell,5,11,75,10,95,0,10,2,70,50,0,0,0
535,heat-crash,5,10,0,10,100,0,10,2,292,0,0,0,0
536,leaf-tornado,5,12,65,10,90,0,10,3,74,50,0,0,0
537,steamroller,5,7,65,20,100,0,10,2,151,30,0,0,0
538,cotton-guard,5,12,0,10,0,0,7,1,329,0,0,0,0
539,night-daze,5,17,85,10,95,0,10,3,74,40,0,0,0
540,psystrike,5,14,100,10,100,0,10,3,283,0,0,0,0
541,tail-slap,5,1,25,10,85,0,10,2,30,0,0,0,0
542,hurricane,5,3,110,10,70,0,10,3,334,30,0,0,0
543,head-charge,5,1,120,15,100,0,10,2,49,0,0,0,0
544,gear-grind,5,9,50,15,85,0,10,2,45,0,0,0,0
545,searing-shot,5,10,100,5,100,0,9,3,5,30,0,0,0
546,techno-blast,5,1,120,5,100,0,10,3,269,0,0,0,0
547,relic-song,5,1,75,10,100,0,11,3,330,10,0,0,0
548,secret-sword,5,2,85,10,100,0,10,3,283,0,0,0,0
549,glaciate,5,15,65,10,95,0,11,3,331,100,0,0,0
550,bolt-strike,5,13,130,5,85,0,10,2,7,20,0,0,0
551,blue-flare,5,10,130,5,85,0,10,3,5,20,0,0,0
552,fiery-dance,5,10,80,10,100,0,10,3,277,50,0,0,0
553,freeze-shock,5,15,140,5,90,0,10,2,332,30,0,0,0
554,ice-burn,5,15,140,5,90,0,10,3,333,30,0,0,0
555,snarl,5,17,55,15,95,0,11,3,72,100,0,0,0
556,icicle-crash,5,15,85,10,90,0,10,2,32,30,0,0,0
557,v-create,5,10,180,5,95,0,10,2,335,100,0,0,0
558,fusion-flare,5,10,100,5,100,0,10,3,336,0,0,0,0
559,fusion-bolt,5,13,100,5,100,0,10,2,337,0,0,0,0
560,flying-press,6,2,100,10,95,0,10,2,338,0,0,0,0
561,mat-block,6,2,0,10,0,0,4,1,377,0,0,0,0
562,belch,6,4,120,10,90,0,10,3,339,0,0,0,0
563,rototiller,6,5,0,10,0,0,14,1,340,100,0,0,0
564,sticky-web,6,7,0,20,0,0,6,1,341,0,0,0,0
565,fell-stinger,6,7,50,25,100,0,10,2,342,0,0,0,0
566,phantom-force,6,8,90,10,100,0,10,2,273,0,0,0,0
567,trick-or-treat,6,8,0,20,100,0,10,1,343,0,0,0,0
568,noble-roar,6,1,0,30,100,0,10,1,344,100,0,0,0
569,ion-deluge,6,13,0,25,0,1,12,1,345,0,0,0,0
570,parabolic-charge,6,13,65,20,100,0,9,3,346,0,0,0,0
571,forests-curse,6,12,0,20,100,0,10,1,376,0,0,0,0
572,petal-blizzard,6,12,90,15,100,0,9,2,379,0,0,0,0
573,freeze-dry,6,15,70,20,100,0,10,3,380,10,0,0,0
574,disarming-voice,6,18,40,15,0,0,11,3,381,0,0,0,0
575,parting-shot,6,17,0,20,100,0,10,1,347,100,0,0,0
576,topsy-turvy,6,17,0,20,0,0,10,1,348,0,0,0,0
577,draining-kiss,6,18,50,10,100,0,10,3,349,0,0,0,0
578,crafty-shield,6,18,0,10,0,3,4,1,350,0,0,0,0
579,flower-shield,6,18,0,10,0,0,14,1,351,100,0,0,0
580,grassy-terrain,6,12,0,10,0,0,12,1,352,0,0,0,0
581,misty-terrain,6,18,0,10,0,0,12,1,353,0,0,0,0
582,electrify,6,13,0,20,0,0,10,1,354,0,0,0,0
583,play-rough,6,18,90,10,90,0,10,2,69,10,0,0,0
584,fairy-wind,6,18,40,30,100,0,10,3,1,0,0,0,0
585,moonblast,6,18,95,15,100,0,10,3,72,30,0,0,0
586,boomburst,6,1,140,10,100,0,9,3,379,0,0,0,0
587,fairy-lock,6,18,0,10,0,0,12,1,355,0,0,0,0
588,kings-shield,6,9,0,10,0,4,7,1,356,0,0,0,0
589,play-nice,6,1,0,20,0,0,10,1,357,100,0,0,0
590,confide,6,1,0,20,0,0,10,1,358,100,0,0,0
591,diamond-storm,6,6,100,5,95,0,11,2,359,50,0,0,0
592,steam-eruption,6,11,110,5,95,0,10,3,5,30,0,0,0
593,hyperspace-hole,6,14,80,5,0,0,10,3,360,0,0,0,0
594,water-shuriken,6,11,15,20,100,1,10,3,361,0,0,0,0
595,mystical-fire,6,10,75,10,100,0,10,3,72,100,0,0,0
596,spiky-shield,6,12,0,10,0,4,7,1,362,0,0,0,0
597,aromatic-mist,6,18,0,20,0,0,3,1,363,0,0,0,0
598,eerie-impulse,6,13,0,15,100,0,10,1,62,0,0,0,0
599,venom-drench,6,4,0,20,100,0,11,1,364,100,0,0,0
600,powder,6,7,0,20,100,1,10,1,378,0,0,0,0
601,geomancy,6,18,0,10,0,0,7,1,366,0,0,0,0
602,magnetic-flux,6,13,0,20,0,0,13,1,367,0,0,0,0
603,happy-hour,6,1,0,30,0,0,4,1,368,0,0,0,0
604,electric-terrain,6,13,0,10,0,0,12,1,369,0,0,0,0
605,dazzling-gleam,6,18,80,10,100,0,11,3,1,0,0,0,0
606,celebrate,6,1,0,40,0,0,7,1,370,0,0,0,0
607,hold-hands,6,1,0,40,0,0,3,1,371,0,0,0,0
608,baby-doll-eyes,6,18,0,30,100,1,10,1,365,0,0,0,0
609,nuzzle,6,13,20,20,100,0,10,2,372,100,0,0,0
610,hold-back,6,1,40,40,100,0,10,2,102,0,0,0,0
611,infestation,6,7,20,20,100,0,10,3,43,100,0,0,0
612,power-up-punch,6,2,40,20,100,0,10,2,375,100,0,0,0
613,oblivion-wing,6,3,80,10,100,0,10,3,349,0,0,0,0
614,thousand-arrows,6,5,90,10,100,0,11,2,373,100,0,0,0
615,thousand-waves,6,5,90,10,100,0,11,2,374,0,0,0,0
616,lands-wrath,6,5,90,10,100,0,11,2,1,0,0,0,0
617,light-of-ruin,6,18,140,5,90,0,10,3,270,0,0,0,0
618,origin-pulse,6,11,110,10,85,0,11,3,1,0,0,0,0
619,precipice-blades,6,5,120,10,85,0,11,2,1,0,0,0,0
620,dragon-ascent,6,3,120,5,100,0,10,2,230,100,0,0,0
621,hyperspace-fury,6,17,100,5,0,0,10,2,360,100,0,0,0
622,breakneck-blitz--physical,7,1,0,1,0,0,10,2,1,0,0,0,0
623,breakneck-blitz--special,7,1,0,1,0,0,10,3,1,0,0,0,0
624,all-out-pummeling--physical,7,2,0,1,0,0,10,2,1,0,0,0,0
625,all-out-pummeling--special,7,2,0,1,0,0,10,3,1,0,0,0,0
626,supersonic-skystrike--physical,7,3,0,1,0,0,10,2,1,0,0,0,0
627,supersonic-skystrike--special,7,3,0,1,0,0,10,3,1,0,0,0,0
628,acid-downpour--physical,7,4,0,1,0,0,10,2,1,0,0,0,0
629,acid-downpour--special,7,4,0,1,0,0,10,3,1,0,0,0,0
630,tectonic-rage--physical,7,5,0,1,0,0,10,2,1,0,0,0,0
631,tectonic-rage--special,7,5,0,1,0,0,10,3,1,0,0,0,0
632,continental-crush--physical,7,6,0,1,0,0,10,2,1,0,0,0,0
633,continental-crush--special,7,6,0,1,0,0,10,3,1,0,0,0,0
634,savage-spin-out--physical,7,7,0,1,0,0,10,2,1,0,0,0,0
635,savage-spin-out--special,7,7,0,1,0,0,10,3,1,0,0,0,0
636,never-ending-nightmare--physical,7,8,0,1,0,0,10,2,1,0,0,0,0
637,never-ending-nightmare--special,7,8,0,1,0,0,10,3,1,0,0,0,0
638,corkscrew-crash--physical,7,9,0,1,0,0,10,2,1,0,0,0,0
639,corkscrew-crash--special,7,9,0,1,0,0,10,3,1,0,0,0,0
640,inferno-overdrive--physical,7,10,0,1,0,0,10,2,1,0,0,0,0
641,inferno-overdrive--special,7,10,0,1,0,0,10,3,1,0,0,0,0
642,hydro-vortex--physical,7,11,0,1,0,0,10,2,1,0,0,0,0
643,hydro-vortex--special,7,11,0,1,0,0,10,3,1,0,0,0,0
644,bloom-doom--physical,7,12,0,1,0,0,10,2,1,0,0,0,0
645,bloom-doom--special,7,12,0,1,0,0,10,3,1,0,0,0,0
646,gigavolt-havoc--physical,7,13,0,1,0,0,10,2,1,0,0,0,0
647,gigavolt-havoc--special,7,13,0,1,0,0,10,3,1,0,0,0,0
648,shattered-psyche--physical,7,14,0,1,0,0,10,2,1,0,0,0,0
649,shattered-psyche--special,7,14,0,1,0,0,10,3,1,0,0,0,0
650,subzero-slammer--physical,7,15,0,1,0,0,10,2,1,0,0,0,0
651,subzero-slammer--special,7,15,0,1,0,0,10,3,1,0,0,0,0
652,devastating-drake--physical,7,16,0,1,0,0,10,2,1,0,0,0,0
653,devastating-drake--special,7,16,0,1,0,0,10,3,1,0,0,0,0
654,black-hole-eclipse--physical,7,17,0,1,0,0,10,2,1,0,0,0,0
655,black-hole-eclipse--special,7,17,0,1,0,0,10,3,1,0,0,0,0
656,twinkle-tackle--physical,7,18,0,1,0,0,10,2,1,0,0,0,0
657,twinkle-tackle--special,7,18,0,1,0,0,10,3,1,0,0,0,0
658,catastropika,7,13,210,1,0,0,10,2,1,0,0,0,0
659,shore-up,7,5,0,10,0,0,7,1,382,0,0,0,0
660,first-impression,7,7,90,10,100,2,10,2,383,0,0,0,0
661,baneful-bunker,7,4,0,10,0,4,7,1,384,0,0,0,0
662,spirit-shackle,7,8,80,10,100,0,10,2,385,0,0,0,0
663,darkest-lariat,7,17,85,10,100,0,10,2,304,0,0,0,0
664,sparkling-aria,7,11,90,10,100,0,9,3,386,0,0,0,0
665,ice-hammer,7,15,100,10,90,0,10,2,219,100,0,0,0
666,floral-healing,7,18,0,10,0,0,10,1,387,0,0,0,0
667,high-horsepower,7,5,95,10,95,0,10,2,1,0,0,0,0
668,strength-sap,7,12,0,10,100,0,10,1,388,100,0,0,0
669,solar-blade,7,12,125,10,100,0,10,2,152,0,0,0,0
670,leafage,7,12,40,40,100,0,10,2,1,0,0,0,0
671,spotlight,7,1,0,15,0,3,10,1,389,0,0,0,0
672,toxic-thread,7,4,0,20,100,0,10,1,390,100,0,0,0
673,laser-focus,7,1,0,30,0,0,7,1,391,0,0,0,0
674,gear-up,7,9,0,20,0,0,13,1,392,0,0,0,0
675,throat-chop,7,17,80,15,100,0,10,2,393,100,0,0,0
676,pollen-puff,7,7,90,15,100,0,10,3,394,0,0,0,0
677,anchor-shot,7,9,80,20,100,0,10,2,385,0,0,0,0
678,psychic-terrain,7,14,0,10,0,0,12,1,395,0,0,0,0
679,lunge,7,7,80,15,100,0,10,2,396,100,0,0,0
680,fire-lash,7,10,80,15,100,0,10,2,397,100,0,0,0
681,power-trip,7,17,20,10,100,0,10,2,306,0,0,0,0
682,burn-up,7,10,130,5,100,0,10,3,398,0,0,0,0
683,speed-swap,7,14,0,10,0,0,10,1,399,0,0,0,0
684,smart-strike,7,9,70,10,0,0,10,2,18,0,0,0,0
685,purify,7,4,0,20,0,0,10,1,400,0,0,0,0
686,revelation-dance,7,1,90,15,100,0,10,3,401,0,0,0,0
687,core-enforcer,7,16,100,10,100,0,11,3,402,0,0,0,0
688,trop-kick,7,12,70,15,100,0,10,2,396,100,0,0,0
689,instruct,7,14,0,15,0,0,10,1,403,0,0,0,0
690,beak-blast,7,3,100,15,100,-3,10,2,404,0,0,0,0
691,clanging-scales,7,16,110,5,100,0,11,3,405,100,0,0,0
692,dragon-hammer,7,16,90,15,100,0,10,2,1,0,0,0,0
693,brutal-swing,7,17,60,20,100,0,9,2,406,0,0,0,0
694,aurora-veil,7,15,0,20,0,0,4,1,407,0,0,0,0
695,sinister-arrow-raid,7,8,180,1,0,0,10,2,1,0,0,0,0
696,malicious-moonsault,7,17,180,1,0,0,10,2,1,0,0,0,0
697,oceanic-operetta,7,11,195,1,0,0,10,3,1,0,0,0,0
698,guardian-of-alola,7,18,0,1,0,0,10,3,413,0,0,0,0
699,soul-stealing-7-star-strike,7,8,195,1,0,0,10,2,1,0,0,0,0
700,stoked-sparksurfer,7,13,175,1,0,0,10,3,7,100,0,0,0
701,pulverizing-pancake,7,1,210,1,0,0,10,2,1,0,0,0,0
702,extreme-evoboost,7,1,0,1,0,0,7,1,414,100,0,0,0
703,genesis-supernova,7,14,185,1,0,0,10,3,415,0,0,0,0
704,shell-trap,7,10,150,5,100,-3,11,3,408,0,0,0,0
705,fleur-cannon,7,18,130,5,90,0,10,3,205,100,0,0,0
706,psychic-fangs,7,14,85,10,100,0,10,2,187,0,0,0,0
707,stomping-tantrum,7,5,75,10,100,0,10,2,409,0,0,0,0
708,shadow-bone,7,8,85,10,100,0,10,2,70,20,0,0,0
709,accelerock,7,6,40,20,100,1,10,2,104,0,0,0,0
710,liquidation,7,11,85,10,100,0,10,2,70,20,0,0,0
711,prismatic-laser,7,14,160,10,100,0,10,3,81,0,0,0,0
712,spectral-thief,7,8,90,10,100,0,10,2,410,0,0,0,0
713,sunsteel-strike,7,9,100,5,100,0,10,2,411,0,0,0,0
714,moongeist-beam,7,8,100,5,100,0,10,3,411,0,0,0,0
715,tearful-look,7,1,0,20,0,0,10,1,412,100,0,0,0
716,zing-zap,7,13,80,10,100,0,10,2,32,30,0,0,0
717,natures-madness,7,18,0,10,90,0,10,3,41,0,0,0,0
718,multi-attack,7,1,120,10,100,0,10,2,269,0,0,0,0
719,10-000-000-volt-thunderbolt,7,13,195,1,0,0,10,3,1,0,0,0,0
720,mind-blown,7,10,150,5,100,0,9,3,420,0,0,0,0
721,plasma-fists,7,13,100,15,100,0,10,2,1,0,0,0,0
722,photon-geyser,7,14,100,5,100,0,10,3,1,0,0,0,0
723,light-that-burns-the-sky,7,14,200,1,0,0,10,3,416,0,0,0,0
724,searing-sunraze-smash,7,9,200,1,0,0,10,2,411,0,0,0,0
725,menacing-moonraze-maelstrom,7,8,200,1,0,0,10,3,411,0,0,0,0
726,lets-snuggle-forever,7,18,190,1,0,0,10,2,417,0,0,0,0
727,splintered-stormshards,7,6,190,1,0,0,10,2,418,0,0,0,0
728,clangorous-soulblaze,7,16,185,1,0,0,11,3,419,100,0,0,0
729,zippy-zap,7,13,80,10,100,2,10,2,1,100,0,0,0
730,splishy-splash,7,11,90,15,100,0,11,3,1,30,0,0,0
731,floaty-fall,7,3,90,15,95,0,10,2,1,30,0,0,0
732,pika-papow,7,13,0,20,0,0,10,3,1,0,0,0,0
733,bouncy-bubble,7,11,60,20,100,0,10,3,1,0,0,0,0
734,buzzy-buzz,7,13,60,20,100,0,10,3,1,100,0,0,0
735,sizzly-slide,7,10,60,20,100,0,10,2,1,100,0,0,0
736,glitzy-glow,7,14,80,15,95,0,10,3,1,0,0,0,0
737,baddy-bad,7,17,80,15,95,0,10,3,1,0,0,0,0
738,sappy-seed,7,12,100,10,90,0,10,2,1,100,0,0,0
739,freezy-frost,7,15,100,10,90,0,10,3,1,0,0,0,0
740,sparkly-swirl,7,18,120,5,85,0,10,3,1,0,0,0,0
741,veevee-volley,7,1,0,20,0,0,10,2,1,0,0,0,0
742,double-iron-bash,7,9,60,5,100,0,10,2,45,30,0,0,0
743,max-guard,8,1,0,10,0,4,7,1,112,0,0,0,0
744,dynamax-cannon,8,16,100,5,100,0,10,3,421,0,0,0,0
745,snipe-shot,8,11,80,15,100,0,10,3,422,0,0,0,0
746,jaw-lock,8,17,80,10,100,0,10,2,423,0,0,0,0
747,stuff-cheeks,8,1,0,10,0,0,7,1,424,100,0,0,0
748,no-retreat,8,2,0,5,0,0,7,1,425,100,0,0,0
749,tar-shot,8,6,0,15,100,0,10,1,426,100,0,0,0
750,magic-powder,8,14,0,20,100,0,10,1,427,0,0,0,0
751,dragon-darts,8,16,50,10,100,0,10,2,428,0,0,0,0
752,teatime,8,1,0,10,0,0,14,1,429,0,0,0,0
753,octolock,8,2,0,15,100,0,10,1,430,0,0,0,0
754,bolt-beak,8,13,85,10,100,0,10,2,431,0,0,0,0
755,fishious-rend,8,11,85,10,100,0,10,2,431,0,0,0,0
756,court-change,8,1,0,10,100,0,12,1,432,0,0,0,0
757,max-flare,8,10,100,10,0,0,2,2,1,0,0,0,0
758,max-flutterby,8,7,10,10,0,0,2,2,1,0,0,0,0
759,max-lightning,8,13,10,10,0,0,2,2,1,0,0,0,0
760,max-strike,8,1,10,10,0,0,2,2,1,0,0,0,0
761,max-knuckle,8,2,10,10,0,0,2,2,1,0,0,0,0
762,max-phantasm,8,8,10,10,0,0,2,2,1,0,0,0,0
763,max-hailstorm,8,15,10,10,0,0,2,2,1,0,0,0,0
764,max-ooze,8,4,10,10,0,0,2,2,1,0,0,0,0
765,max-geyser,8,11,10,10,0,0,2,2,1,0,0,0,0
766,max-airstream,8,3,10,10,0,0,2,2,1,0,0,0,0
767,max-starfall,8,18,10,10,0,0,2,2,1,0,0,0,0
768,max-wyrmwind,8,16,10,10,0,0,2,2,1,0,0,0,0
769,max-mindstorm,8,14,10,10,0,0,2,2,1,0,0,0,0
770,max-rockfall,8,6,10,10,0,0,2,2,1,0,0,0,0
771,max-quake,8,5,10,10,0,0,2,2,1,0,0,0,0
772,max-darkness,8,17,10,10,0,0,2,2,1,0,0,0,0
773,max-overgrowth,8,12,10,10,0,0,2,2,1,0,0,0,0
774,max-steelspike,8,9,10,10,0,0,2,2,1,0,0,0,0
775,clangorous-soul,8,16,0,5,100,0,7,1,433,100,0,0,0
776,body-press,8,2,80,10,100,0,10,2,434,0,0,0,0
777,decorate,8,18,0,15,0,0,10,1,435,100,0,0,0
778,drum-beating,8,12,80,10,100,0,10,2,71,100,0,0,0
779,snap-trap,8,12,35,15,100,0,10,2,43,100,0,0,0
780,pyro-ball,8,10,120,5,90,0,10,2,5,10,0,0,0
781,behemoth-blade,8,9,100,5,100,0,10,2,436,0,0,0,0
782,behemoth-bash,8,9,100,5,100,0,10,2,436,0,0,0,0
783,aura-wheel,8,13,110,10,100,0,10,2,437,100,0,0,0
784,breaking-swipe,8,16,60,15,100,0,11,2,396,100,0,0,0
785,branch-poke,8,12,40,40,100,0,10,2,1,0,0,0,0
786,overdrive,8,13,80,10,100,0,11,3,439,0,0,0,0
787,apple-acid,8,12,80,10,100,0,10,3,440,100,0,0,0
788,grav-apple,8,12,80,10,100,0,10,2,397,100,0,0,0
789,spirit-break,8,18,75,15,100,0,10,2,72,100,0,0,0
790,strange-steam,8,18,90,10,95,0,10,3,77,20,0,0,0
791,life-dew,8,11,0,10,0,0,13,1,441,0,0,0,0
792,obstruct,8,17,0,10,100,4,7,1,442,0,0,0,0
793,false-surrender,8,17,80,10,0,0,10,2,18,0,0,0,0
794,meteor-assault,8,2,150,5,100,0,10,2,81,0,0,0,0
795,eternabeam,8,16,160,5,90,0,10,3,81,0,0,0,0
796,steel-beam,8,9,140,5,95,0,10,3,420,0,0,0,0
797,expanding-force,8,14,80,10,100,0,10,3,1,0,0,0,0
798,steel-roller,8,9,130,5,100,0,10,2,1,0,0,0,0
799,scale-shot,8,16,25,20,90,0,10,2,443,0,0,0,0
800,meteor-beam,8,6,120,10,90,0,10,3,1,100,0,0,0
801,shell-side-arm,8,4,90,10,100,0,10,3,1,20,0,0,0
802,misty-explosion,8,18,100,5,100,0,9,3,1,0,0,0,0
803,grassy-glide,8,12,70,20,100,0,10,2,1,0,0,0,0
804,rising-voltage,8,13,70,20,100,0,10,3,1,0,0,0,0
805,terrain-pulse,8,1,50,10,100,0,10,3,1,0,0,0,0
806,skitter-smack,8,7,70,10,90,0,10,2,1,100,0,0,0
807,burning-jealousy,8,10,70,5,100,0,11,3,1,100,0,0,0
808,lash-out,8,17,75,5,100,0,10,2,1,0,0,0,0
809,poltergeist,8,8,110,5,90,0,10,2,1,0,0,0,0
810,corrosive-gas,8,4,0,40,100,0,9,1,1,0,0,0,0
811,coaching,8,2,0,10,0,0,13,1,1,100,0,0,0
812,flip-turn,8,11,60,20,100,0,10,2,1,0,0,0,0
813,triple-axel,8,15,20,10,90,0,10,2,1,0,0,0,0
814,dual-wingbeat,8,3,40,10,90,0,10,2,1,0,0,0,0
815,scorching-sands,8,5,70,10,100,0,10,3,1,30,0,0,0
