id,identifier,generation_id,evolves_from_species_id,evolution_chain_id,color_id,shape_id,habitat_id,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate_id,forms_switchable,is_legendary,is_mythical,order,conquest_order
322,numel,3,0,162,10,8,4,4,255,70,0,20,1,2,0,0,0,350,0
323,camerupt,3,322,162,8,8,4,4,150,70,0,20,1,2,1,0,0,351,0
324,torkoal,3,0,163,3,8,4,4,90,50,0,20,0,2,0,0,0,352,0
325,spoink,3,0,164,1,4,4,4,255,70,0,20,0,3,0,0,0,353,0
326,grumpig,3,325,164,7,6,4,4,60,70,0,20,0,3,0,0,0,354,0
327,spinda,3,0,165,3,6,4,4,255,70,0,15,0,3,0,0,0,355,0
328,trapinch,3,0,166,3,14,6,4,255,50,0,20,0,4,0,0,0,356,0
329,vibrava,3,328,166,5,13,6,4,120,50,0,20,0,4,0,0,0,357,0
330,flygon,3,329,166,5,9,6,4,45,50,0,20,0,4,0,0,0,358,0
331,cacnea,3,0,167,5,12,6,4,190,35,0,20,0,4,0,0,0,359,0
332,cacturne,3,331,167,5,12,6,4,60,35,0,20,1,4,0,0,0,360,0
333,swablu,3,0,168,2,9,2,4,255,50,0,20,0,5,0,0,0,361,0
334,altaria,3,333,168,2,9,2,4,45,50,0,20,0,5,1,0,0,362,0
335,zangoose,3,0,169,9,6,3,4,90,70,0,20,0,5,0,0,0,363,0
336,seviper,3,0,170,1,2,3,4,90,70,0,20,0,6,0,0,0,364,0
337,lunatone,3,0,171,10,1,1,-1,45,50,0,25,0,3,0,0,0,365,0
338,solrock,3,0,172,8,1,1,-1,45,50,0,25,0,3,0,0,0,366,0
339,barboach,3,0,173,4,3,9,4,190,50,0,20,0,2,0,0,0,367,0
340,whiscash,3,339,173,2,3,9,4,75,50,0,20,0,2,0,0,0,368,0
341,corphish,3,0,174,8,14,9,4,205,50,0,15,0,6,0,0,0,369,0
342,crawdaunt,3,341,174,8,14,9,4,155,50,0,15,0,6,0,0,0,370,0
343,baltoy,3,0,175,3,4,6,-1,255,50,0,20,0,2,0,0,0,371,0
344,claydol,3,343,175,1,4,6,-1,90,50,0,20,0,2,0,0,0,372,0
345,lileep,3,0,176,7,5,7,1,45,50,0,30,0,5,0,0,0,373,0
346,cradily,3,345,176,5,5,7,1,45,50,0,30,0,5,0,0,0,374,0
347,anorith,3,0,177,4,14,9,1,45,50,0,30,0,5,0,0,0,375,171
348,armaldo,3,347,177,4,6,9,1,45,50,0,30,0,5,0,0,0,376,172
349,feebas,3,0,178,3,3,9,4,255,50,0,20,0,5,0,0,0,377,0
350,milotic,3,349,178,6,2,9,4,60,50,0,20,1,5,0,0,0,378,0
351,castform,3,0,179,4,1,3,4,45,70,0,25,0,2,1,0,0,379,0
352,kecleon,3,0,180,5,6,2,4,200,70,0,20,0,4,0,0,0,380,0
353,shuppet,3,0,181,1,1,8,4,225,35,0,25,0,3,0,0,0,381,0
354,banette,3,353,181,1,6,8,4,45,35,0,25,0,3,1,0,0,382,0
355,duskull,3,0,182,1,4,2,4,190,35,0,25,0,3,0,0,0,383,69
356,dusclops,3,355,182,1,12,2,4,90,35,0,25,0,3,0,0,0,384,70
357,tropius,3,0,183,5,8,2,4,200,70,0,25,0,1,0,0,0,386,0
358,chimecho,3,433,184,2,4,3,4,45,70,0,25,0,3,0,0,0,388,53
359,absol,3,0,185,9,8,4,4,30,35,0,25,0,4,1,0,0,389,0
360,wynaut,3,0,100,2,6,1,4,125,50,1,20,0,2,0,0,0,232,0
361,snorunt,3,0,186,4,12,1,4,190,50,0,20,0,2,0,0,0,390,93
362,glalie,3,361,186,4,1,1,4,75,50,0,20,0,2,1,0,0,391,94
363,spheal,3,0,187,2,3,7,4,255,50,0,20,0,4,0,0,0,393,60
364,sealeo,3,363,187,2,3,7,4,120,50,0,20,0,4,0,0,0,394,61
365,walrein,3,364,187,2,8,7,4,45,50,0,20,0,4,0,0,0,395,62
366,clamperl,3,0,188,2,1,7,4,255,70,0,20,0,5,0,0,0,396,0
367,huntail,3,366,188,2,2,7,4,60,70,0,20,0,5,0,0,0,397,0
368,gorebyss,3,366,188,6,2,7,4,60,70,0,20,0,5,0,0,0,398,0
369,relicanth,3,0,189,4,3,7,1,25,50,0,40,1,1,0,0,0,399,0
370,luvdisc,3,0,190,6,3,7,6,225,70,0,20,0,3,0,0,0,400,0
371,bagon,3,0,191,2,12,6,4,45,35,0,40,0,1,0,0,0,401,0
372,shelgon,3,371,191,9,8,6,4,45,35,0,40,0,1,0,0,0,402,0
373,salamence,3,372,191,2,8,6,4,45,35,0,40,0,1,1,0,0,403,0
374,beldum,3,0,192,2,5,6,-1,3,35,0,40,0,1,0,0,0,404,82
375,metang,3,374,192,2,4,6,-1,3,35,0,40,0,1,0,0,0,405,83
376,metagross,3,375,192,2,11,6,-1,3,35,0,40,0,1,1,0,0,406,84
377,regirock,3,0,193,3,12,1,-1,3,35,0,80,0,1,0,1,0,407,0
378,regice,3,0,194,2,12,1,-1,3,35,0,80,0,1,0,1,0,408,0
379,registeel,3,0,195,4,12,1,-1,3,35,0,80,0,1,0,1,0,409,193
380,latias,3,0,196,8,9,9,8,3,90,0,120,0,1,1,1,0,410,0
381,latios,3,0,197,2,9,9,0,3,90,0,120,0,1,1,1,0,411,0
382,kyogre,3,0,198,2,3,7,-1,3,0,0,120,0,1,1,1,0,412,0
383,groudon,3,0,199,8,6,6,-1,3,0,0,120,0,1,1,1,0,413,194
384,rayquaza,3,0,200,5,2,5,-1,45,0,0,120,0,1,1,1,0,414,200
385,jirachi,3,0,201,10,12,4,-1,3,100,0,120,0,1,0,0,1,415,0
386,deoxys,3,0,202,8,12,5,-1,3,0,0,120,0,1,1,0,1,416,0
387,turtwig,4,0,203,5,8,0,1,45,70,0,20,0,4,0,0,0,417,0
388,grotle,4,387,203,5,8,0,1,45,70,0,20,0,4,0,0,0,418,0
389,torterra,4,388,203,5,8,0,1,45,70,0,20,0,4,0,0,0,419,0
390,chimchar,4,0,204,3,6,0,1,45,70,0,20,0,4,0,0,0,420,115
391,monferno,4,390,204,3,6,0,1,45,70,0,20,0,4,0,0,0,421,116
392,infernape,4,391,204,3,6,0,1,45,70,0,20,0,4,0,0,0,422,117
393,piplup,4,0,205,2,12,0,1,45,70,0,20,0,4,0,0,0,423,133
394,prinplup,4,393,205,2,6,0,1,45,70,0,20,0,4,0,0,0,424,134
395,empoleon,4,394,205,2,6,0,1,45,70,0,20,0,4,0,0,0,425,135
396,starly,4,0,206,3,9,0,4,255,70,0,15,1,4,0,0,0,426,26
397,staravia,4,396,206,3,9,0,4,120,70,0,15,1,4,0,0,0,427,27
398,staraptor,4,397,206,3,9,0,4,45,70,0,15,1,4,0,0,0,428,28
399,bidoof,4,0,207,3,8,0,4,255,70,0,15,1,2,0,0,0,429,29
400,bibarel,4,399,207,3,6,0,4,127,70,0,15,1,2,0,0,0,430,30
401,kricketot,4,0,208,8,12,0,4,255,70,0,15,1,4,0,0,0,431,0
402,kricketune,4,401,208,8,13,0,4,45,70,0,15,1,4,0,0,0,432,0
403,shinx,4,0,209,2,8,0,4,235,50,0,20,1,4,0,0,0,433,34
404,luxio,4,403,209,2,8,0,4,120,100,0,20,1,4,0,0,0,434,35
405,luxray,4,404,209,2,8,0,4,45,50,0,20,1,4,0,0,0,435,36
406,budew,4,0,158,5,12,0,4,255,50,1,20,0,4,0,0,0,341,0
407,roserade,4,315,158,5,12,0,4,75,50,0,20,1,4,0,0,0,343,0
408,cranidos,4,0,211,2,6,0,1,45,70,0,30,0,5,0,0,0,436,0
409,rampardos,4,408,211,2,6,0,1,45,70,0,30,0,5,0,0,0,437,0
410,shieldon,4,0,212,4,8,0,1,45,70,0,30,0,5,0,0,0,438,163
411,bastiodon,4,410,212,4,8,0,1,45,70,0,30,0,5,0,0,0,439,164
412,burmy,4,0,213,5,5,0,4,120,70,0,15,0,2,1,0,0,440,0
413,wormadam,4,412,213,5,5,0,8,45,70,0,15,0,2,0,0,0,441,0
414,mothim,4,412,213,10,13,0,0,45,70,0,15,0,2,0,0,0,442,0
415,combee,4,0,214,10,11,0,1,120,50,0,15,1,4,0,0,0,443,0
416,vespiquen,4,415,214,10,13,0,8,45,50,0,15,0,4,0,0,0,444,0
417,pachirisu,4,0,215,9,8,0,4,200,100,0,10,1,2,0,0,0,445,0
418,buizel,4,0,216,3,8,0,4,190,70,0,20,1,2,0,0,0,446,0
419,floatzel,4,418,216,3,8,0,4,75,70,0,20,1,2,0,0,0,447,0
420,cherubi,4,0,217,6,11,0,4,190,50,0,20,0,2,0,0,0,448,0
421,cherrim,4,420,217,7,7,0,4,75,50,0,20,0,2,1,0,0,449,0
422,shellos,4,0,218,7,2,0,4,190,50,0,20,0,2,0,0,0,450,0
423,gastrodon,4,422,218,7,2,0,4,75,50,0,20,0,2,0,0,0,451,0
424,ambipom,4,190,93,7,6,0,4,45,100,0,20,1,3,0,0,0,220,0
425,drifloon,4,0,219,7,4,0,4,125,50,0,30,0,6,0,0,0,452,167
426,drifblim,4,425,219,7,4,0,4,60,50,0,30,0,6,0,0,0,453,168
427,buneary,4,0,220,3,6,0,4,190,0,0,20,0,2,0,0,0,454,0
428,lopunny,4,427,220,3,6,0,4,60,140,0,20,0,2,1,0,0,455,0
429,mismagius,4,200,98,7,1,0,4,45,35,0,25,0,3,0,0,0,230,184
430,honchkrow,4,198,97,1,9,0,4,30,35,0,20,0,4,0,0,0,228,0
431,glameow,4,0,221,4,8,0,6,190,70,0,20,0,3,0,0,0,456,0
432,purugly,4,431,221,4,8,0,6,75,70,0,20,0,3,0,0,0,457,0
433,chingling,4,0,184,10,12,0,4,120,70,1,25,0,3,0,0,0,387,52
434,stunky,4,0,223,7,8,0,4,225,50,0,20,0,2,0,0,0,458,0
435,skuntank,4,434,223,7,8,0,4,60,50,0,20,0,2,0,0,0,459,0
436,bronzor,4,0,224,5,1,0,-1,255,50,0,20,0,2,0,0,0,460,0
437,bronzong,4,436,224,5,4,0,-1,90,50,0,20,0,2,0,0,0,461,0
438,bonsly,4,0,91,3,7,0,4,255,50,1,20,0,2,0,0,0,214,0
439,mime-jr,4,0,57,6,12,0,4,145,50,1,25,0,2,0,0,0,139,0
440,happiny,4,0,51,6,12,0,8,130,140,1,40,0,3,0,0,0,126,0
441,chatot,4,0,228,1,9,0,4,30,35,0,20,0,4,0,0,0,462,0
442,spiritomb,4,0,229,7,5,0,4,100,50,0,30,0,2,0,0,0,463,187
443,gible,4,0,230,2,6,0,4,45,50,0,40,1,1,0,0,0,464,85
444,gabite,4,443,230,2,6,0,4,45,50,0,40,1,1,0,0,0,465,86
445,garchomp,4,444,230,2,6,0,4,45,50,0,40,1,1,1,0,0,466,87
446,munchlax,4,0,72,1,12,0,1,50,50,1,40,0,1,0,0,0,174,178
447,riolu,4,0,232,2,6,0,1,75,50,1,25,0,4,0,0,0,467,50
448,lucario,4,447,232,2,6,0,1,45,50,0,25,0,4,1,0,0,468,51
449,hippopotas,4,0,233,3,8,0,4,140,50,0,30,1,1,0,0,0,469,0
450,hippowdon,4,449,233,3,8,0,4,60,50,0,30,1,1,0,0,0,470,0
451,skorupi,4,0,234,7,14,0,4,120,50,0,20,0,1,0,0,0,471,156
452,drapion,4,451,234,7,14,0,4,45,50,0,20,0,1,0,0,0,472,157
453,croagunk,4,0,235,2,12,0,4,140,100,0,10,1,2,0,0,0,473,88
454,toxicroak,4,453,235,2,12,0,4,75,50,0,20,1,2,0,0,0,474,89
455,carnivine,4,0,236,5,10,0,4,200,70,0,25,0,1,0,0,0,475,186
456,finneon,4,0,237,2,3,0,4,190,70,0,20,1,5,0,0,0,476,0
457,lumineon,4,456,237,2,3,0,4,75,70,0,20,1,5,0,0,0,477,0
458,mantyke,4,0,116,2,9,0,4,25,50,1,25,0,1,0,0,0,258,0
459,snover,4,0,239,9,6,0,4,120,50,0,20,1,1,0,0,0,478,0
460,abomasnow,4,459,239,9,6,0,4,60,50,0,20,1,1,1,0,0,479,0
461,weavile,4,215,109,1,6,0,4,45,35,0,20,1,4,0,0,0,246,182
462,magnezone,4,82,34,4,4,0,-1,30,50,0,20,0,2,0,0,0,90,0
463,lickilicky,4,108,48,6,12,0,4,30,50,0,20,0,2,0,0,0,120,0
464,rhyperior,4,112,50,4,6,0,4,30,50,0,20,1,1,0,0,0,125,162
465,tangrowth,4,114,52,2,12,0,4,30,50,0,20,1,2,0,0,0,130,0
466,electivire,4,125,60,10,6,0,2,30,50,0,25,0,2,0,0,0,147,0
467,magmortar,4,126,61,8,6,0,2,30,50,0,25,0,2,0,0,0,150,0
468,togekiss,4,176,87,9,9,0,1,30,50,0,10,0,3,0,0,0,205,0
469,yanmega,4,193,95,5,13,0,4,30,70,0,20,0,2,0,0,0,224,0
470,leafeon,4,133,67,5,8,0,1,45,35,0,35,0,2,0,0,0,163,7
471,glaceon,4,133,67,2,8,0,1,45,35,0,35,0,2,0,0,0,164,8
472,gliscor,4,207,104,7,9,0,4,30,70,0,20,0,4,0,0,0,239,0
473,mamoswine,4,221,112,3,8,0,4,50,50,0,20,1,1,0,0,0,253,0
474,porygon-z,4,233,68,8,4,0,-1,30,50,0,20,0,2,0,0,0,168,0
475,gallade,4,281,140,9,12,0,0,45,35,0,20,0,1,1,0,0,308,12
476,probopass,4,299,147,4,11,0,4,60,70,0,20,0,2,0,0,0,325,0
477,dusknoir,4,356,182,1,4,0,4,45,35,0,25,0,3,0,0,0,385,71
478,froslass,4,361,186,9,4,0,8,75,50,0,20,0,2,0,0,0,392,95
479,rotom,4,0,240,8,1,0,-1,45,50,0,20,0,2,1,0,0,480,0
480,uxie,4,0,241,10,6,0,-1,3,140,0,80,0,1,0,1,0,481,0
481,mesprit,4,0,242,6,6,0,-1,3,140,0,80,0,1,0,1,0,482,0
482,azelf,4,0,243,2,6,0,-1,3,140,0,80,0,1,0,1,0,483,0
483,dialga,4,0,244,9,8,0,-1,3,0,0,120,0,1,0,1,0,484,195
484,palkia,4,0,245,7,6,0,-1,3,0,0,120,0,1,0,1,0,485,0
485,heatran,4,0,246,3,8,0,4,3,100,0,10,0,1,0,1,0,486,0
486,regigigas,4,0,247,9,12,0,-1,3,0,0,120,0,1,0,1,0,487,0
487,giratina,4,0,248,1,10,0,-1,3,0,0,120,0,1,1,1,0,488,0
488,cresselia,4,0,249,10,2,0,8,3,100,0,120,0,1,0,1,0,489,0
489,phione,4,0,250,2,4,0,-1,30,70,0,40,0,1,0,0,1,490,0
490,manaphy,4,0,250,2,12,0,-1,3,70,0,10,0,1,0,0,1,491,0
491,darkrai,4,0,252,1,12,0,-1,3,0,0,120,0,1,0,0,1,492,0
492,shaymin,4,0,253,5,8,0,-1,45,100,0,120,0,4,1,0,1,493,0
493,arceus,4,0,254,9,8,0,-1,3,0,0,120,0,1,1,0,1,494,199
494,victini,5,0,255,10,12,0,-1,3,100,0,120,0,1,0,0,1,495,0
495,snivy,5,0,256,5,6,0,1,45,70,0,20,0,4,0,0,0,496,118
496,servine,5,495,256,5,6,0,1,45,70,0,20,0,4,0,0,0,497,119
497,serperior,5,496,256,5,2,0,1,45,70,0,20,0,4,0,0,0,498,120
498,tepig,5,0,257,8,8,0,1,45,70,0,20,0,4,0,0,0,499,121
499,pignite,5,498,257,8,6,0,1,45,70,0,20,0,4,0,0,0,500,122
500,emboar,5,499,257,8,6,0,1,45,70,0,20,0,4,0,0,0,501,123
501,oshawott,5,0,258,2,6,0,1,45,70,0,20,0,4,0,0,0,502,106
502,dewott,5,501,258,2,6,0,1,45,70,0,20,0,4,0,0,0,503,107
503,samurott,5,502,258,2,8,0,1,45,70,0,20,0,4,0,0,0,504,108
504,patrat,5,0,259,3,8,0,4,255,70,0,15,0,2,0,0,0,505,0
505,watchog,5,504,259,3,6,0,4,255,70,0,20,0,2,0,0,0,506,0
506,lillipup,5,0,260,3,8,0,4,255,50,0,15,0,4,0,0,0,507,0
507,herdier,5,506,260,4,8,0,4,120,50,0,15,0,4,0,0,0,508,0
508,stoutland,5,507,260,4,8,0,4,45,50,0,15,0,4,0,0,0,509,0
509,purrloin,5,0,261,7,8,0,4,255,50,0,20,0,2,0,0,0,510,0
510,liepard,5,509,261,7,8,0,4,90,50,0,20,0,2,0,0,0,511,0
511,pansage,5,0,262,5,6,0,1,190,70,0,20,0,2,0,0,0,512,136
512,simisage,5,511,262,5,6,0,1,75,70,0,20,0,2,0,0,0,513,137
513,pansear,5,0,263,8,6,0,1,190,70,0,20,0,2,0,0,0,514,138
514,simisear,5,513,263,8,6,0,1,75,70,0,20,0,2,0,0,0,515,139
515,panpour,5,0,264,2,6,0,1,190,70,0,20,0,2,0,0,0,516,140
516,simipour,5,515,264,2,6,0,1,75,70,0,20,0,2,0,0,0,517,141
517,munna,5,0,265,6,8,0,4,190,50,0,10,0,3,0,0,0,518,72
518,musharna,5,517,265,6,12,0,4,75,50,0,10,0,3,0,0,0,519,73
519,pidove,5,0,266,4,9,0,4,255,50,0,15,0,4,0,0,0,520,0
520,tranquill,5,519,266,4,9,0,4,120,50,0,15,0,4,0,0,0,521,0
521,unfezant,5,520,266,4,9,0,4,45,50,0,15,1,4,0,0,0,522,0
522,blitzle,5,0,267,1,8,0,4,190,70,0,20,0,2,0,0,0,523,74
523,zebstrika,5,522,267,1,8,0,4,75,70,0,20,0,2,0,0,0,524,75
524,roggenrola,5,0,268,2,7,0,4,255,50,0,15,0,4,0,0,0,525,40
525,boldore,5,524,268,2,10,0,4,120,50,0,15,0,4,0,0,0,526,41
526,gigalith,5,525,268,2,10,0,4,45,50,0,15,0,4,0,0,0,527,42
527,woobat,5,0,269,2,9,0,4,190,50,0,15,0,2,0,0,0,528,0
528,swoobat,5,527,269,2,9,0,4,45,50,0,15,0,2,0,0,0,529,0
529,drilbur,5,0,270,4,6,0,4,120,50,0,20,0,2,0,0,0,530,152
530,excadrill,5,529,270,4,12,0,4,60,50,0,20,0,2,0,0,0,531,153
531,audino,5,0,271,6,6,0,4,255,50,0,20,0,3,1,0,0,532,185
532,timburr,5,0,272,4,12,0,2,180,70,0,20,0,4,0,0,0,533,101
533,gurdurr,5,532,272,4,12,0,2,90,50,0,20,0,4,0,0,0,534,102
534,conkeldurr,5,533,272,3,12,0,2,45,50,0,20,0,4,0,0,0,535,103
535,tympole,5,0,273,2,3,0,4,255,50,0,20,0,4,0,0,0,536,0
536,palpitoad,5,535,273,2,6,0,4,120,50,0,20,0,4,0,0,0,537,0
537,seismitoad,5,536,273,2,12,0,4,45,50,0,20,0,4,0,0,0,538,0
538,throh,5,0,274,8,12,0,0,45,50,0,20,0,2,0,0,0,539,0
539,sawk,5,0,275,2,12,0,0,45,50,0,20,0,2,0,0,0,540,0
540,sewaddle,5,0,276,10,14,0,4,255,70,0,15,0,4,0,0,0,541,124
541,swadloon,5,540,276,5,4,0,4,120,70,0,15,0,4,0,0,0,542,125
542,leavanny,5,541,276,10,12,0,4,45,70,0,15,0,4,0,0,0,543,126
543,venipede,5,0,277,8,14,0,4,255,50,0,15,0,4,0,0,0,544,31
544,whirlipede,5,543,277,4,1,0,4,120,50,0,15,0,4,0,0,0,545,32
545,scolipede,5,544,277,8,14,0,4,45,50,0,20,0,4,0,0,0,546,33
546,cottonee,5,0,278,5,1,0,4,190,50,0,20,0,2,0,0,0,547,48
547,whimsicott,5,546,278,5,12,0,4,75,50,0,20,0,2,0,0,0,548,49
548,petilil,5,0,279,5,5,0,8,190,50,0,20,0,2,0,0,0,549,43
549,lilligant,5,548,279,5,5,0,8,75,50,0,20,0,2,0,0,0,550,44
550,basculin,5,0,280,5,3,0,4,25,50,0,40,0,2,0,0,0,551,0
551,sandile,5,0,281,3,8,0,4,180,50,0,20,0,4,0,0,0,552,66
552,krokorok,5,551,281,3,8,0,4,90,50,0,20,0,4,0,0,0,553,67
553,krookodile,5,552,281,8,6,0,4,45,50,0,20,0,4,0,0,0,554,68
554,darumaka,5,0,282,8,12,0,4,120,50,0,20,0,4,0,0,0,555,142
555,darmanitan,5,554,282,8,8,0,4,60,50,0,20,0,4,1,0,0,556,143
556,maractus,5,0,283,5,5,0,4,255,50,0,20,0,2,0,0,0,557,0
557,dwebble,5,0,284,8,14,0,4,190,50,0,20,0,2,0,0,0,558,0
558,crustle,5,557,284,8,14,0,4,75,50,0,20,0,2,0,0,0,559,0
559,scraggy,5,0,285,10,6,0,4,180,35,0,15,0,2,0,0,0,560,165
560,scrafty,5,559,285,8,6,0,4,90,50,0,15,0,2,0,0,0,561,166
561,sigilyph,5,0,286,1,9,0,4,45,50,0,20,0,2,0,0,0,562,0
562,yamask,5,0,287,1,4,0,4,190,50,0,25,0,2,0,0,0,563,0
563,cofagrigus,5,562,287,10,5,0,4,90,50,0,25,0,2,0,0,0,564,0
564,tirtouga,5,0,288,2,8,0,1,45,50,0,30,0,2,0,0,0,565,0
565,carracosta,5,564,288,2,6,0,1,45,50,0,30,0,2,0,0,0,566,0
566,archen,5,0,289,10,9,0,1,45,50,0,30,0,2,0,0,0,567,0
567,archeops,5,566,289,10,9,0,1,45,50,0,30,0,2,0,0,0,568,0
568,trubbish,5,0,290,5,12,0,4,190,50,0,20,0,2,0,0,0,569,0
569,garbodor,5,568,290,5,12,0,4,60,50,0,20,0,2,0,0,0,570,0
570,zorua,5,0,291,4,8,0,1,75,50,0,25,0,4,0,0,0,571,154
571,zoroark,5,570,291,4,6,0,1,45,50,0,20,0,4,0,0,0,572,155
572,minccino,5,0,292,4,8,0,6,255,50,0,15,0,3,0,0,0,573,96
573,cinccino,5,572,292,4,8,0,6,60,50,0,15,0,3,0,0,0,574,97
574,gothita,5,0,293,7,12,0,6,200,50,0,20,0,4,0,0,0,575,63
575,gothorita,5,574,293,7,12,0,6,100,50,0,20,0,4,0,0,0,576,64
576,gothitelle,5,575,293,7,12,0,6,50,50,0,20,0,4,0,0,0,577,65
577,solosis,5,0,294,5,1,0,4,200,50,0,20,0,4,0,0,0,578,0
578,duosion,5,577,294,5,1,0,4,100,50,0,20,0,4,0,0,0,579,0
579,reuniclus,5,578,294,5,4,0,4,50,50,0,20,0,4,0,0,0,580,0
580,ducklett,5,0,295,2,9,0,4,190,70,0,20,0,2,0,0,0,581,0
581,swanna,5,580,295,9,9,0,4,45,70,0,20,0,2,0,0,0,582,0
582,vanillite,5,0,296,9,5,0,4,255,50,0,20,0,1,0,0,0,583,0
583,vanillish,5,582,296,9,5,0,4,120,50,0,20,0,1,0,0,0,584,0
584,vanilluxe,5,583,296,9,11,0,4,45,50,0,20,0,1,0,0,0,585,0
585,deerling,5,0,297,6,8,0,4,190,70,0,20,0,2,1,0,0,586,0
586,sawsbuck,5,585,297,3,8,0,4,75,70,0,20,0,2,1,0,0,587,0
587,emolga,5,0,298,9,8,0,4,200,50,0,20,0,2,0,0,0,588,180
588,karrablast,5,0,299,2,12,0,4,200,50,0,15,0,2,0,0,0,589,0
589,escavalier,5,588,299,4,4,0,4,75,50,0,15,0,2,0,0,0,590,0
590,foongus,5,0,300,9,4,0,4,190,50,0,20,0,2,0,0,0,591,0
591,amoonguss,5,590,300,9,4,0,4,75,50,0,20,0,2,0,0,0,592,0
592,frillish,5,0,301,9,10,0,4,190,50,0,20,1,2,0,0,0,593,0
593,jellicent,5,592,301,9,10,0,4,60,50,0,20,1,2,0,0,0,594,0
594,alomomola,5,0,302,6,3,0,4,75,70,0,40,0,3,0,0,0,595,0
595,joltik,5,0,303,10,14,0,4,190,50,0,20,0,2,0,0,0,596,147
596,galvantula,5,595,303,10,14,0,4,75,50,0,20,0,2,0,0,0,597,148
597,ferroseed,5,0,304,4,1,0,4,255,50,0,20,0,2,0,0,0,598,0
598,ferrothorn,5,597,304,4,10,0,4,90,50,0,20,0,2,0,0,0,599,0
599,klink,5,0,305,4,11,0,-1,130,50,0,20,0,4,0,0,0,600,0
600,klang,5,599,305,4,11,0,-1,60,50,0,20,0,4,0,0,0,601,0
601,klinklang,5,600,305,4,11,0,-1,30,50,0,20,0,4,0,0,0,602,0
602,tynamo,5,0,306,9,3,0,4,190,70,0,20,0,1,0,0,0,603,0
603,eelektrik,5,602,306,2,3,0,4,60,70,0,20,0,1,0,0,0,604,0
604,eelektross,5,603,306,2,3,0,4,30,70,0,20,0,1,0,0,0,605,0
605,elgyem,5,0,307,2,6,0,4,255,50,0,20,0,2,0,0,0,606,0
606,beheeyem,5,605,307,3,12,0,4,90,50,0,20,0,2,0,0,0,607,0
607,litwick,5,0,308,9,5,0,4,190,50,0,20,0,4,0,0,0,608,37
608,lampent,5,607,308,1,4,0,4,90,50,0,20,0,4,0,0,0,609,38
609,chandelure,5,608,308,1,4,0,4,45,50,0,20,0,4,0,0,0,610,39
610,axew,5,0,309,5,6,0,4,75,35,0,40,0,1,0,0,0,611,144
611,fraxure,5,610,309,5,6,0,4,60,35,0,40,0,1,0,0,0,612,145
612,haxorus,5,611,309,10,6,0,4,45,35,0,40,0,1,0,0,0,613,146
613,cubchoo,5,0,310,9,6,0,4,120,50,0,20,0,2,0,0,0,614,104
614,beartic,5,613,310,9,8,0,4,60,50,0,20,0,2,0,0,0,615,105
615,cryogonal,5,0,311,2,1,0,-1,25,50,0,25,0,2,0,0,0,616,0
616,shelmet,5,0,312,8,1,0,4,200,50,0,15,0,2,0,0,0,617,0
617,accelgor,5,616,312,8,4,0,4,75,50,0,15,0,2,0,0,0,618,0
618,stunfisk,5,0,313,3,3,0,4,75,70,0,20,0,2,0,0,0,619,0
619,mienfoo,5,0,314,10,6,0,4,180,50,0,25,0,4,0,0,0,620,0
620,mienshao,5,619,314,7,6,0,4,45,50,0,25,0,4,0,0,0,621,0
621,druddigon,5,0,315,8,6,0,4,45,50,0,30,0,2,0,0,0,622,0
622,golett,5,0,316,5,12,0,-1,190,50,0,25,0,2,0,0,0,623,0
623,golurk,5,622,316,5,12,0,-1,90,50,0,25,0,2,0,0,0,624,0
624,pawniard,5,0,317,8,12,0,4,120,35,0,20,0,2,0,0,0,625,158
625,bisharp,5,624,317,8,12,0,4,45,35,0,20,0,2,0,0,0,626,159
626,bouffalant,5,0,318,3,8,0,4,45,50,0,20,0,2,0,0,0,627,0
627,rufflet,5,0,319,9,9,0,0,190,50,0,20,0,1,0,0,0,628,169
628,braviary,5,627,319,8,9,0,0,60,50,0,20,0,1,0,0,0,629,170
629,vullaby,5,0,320,3,9,0,8,190,35,0,20,0,1,0,0,0,630,0
630,mandibuzz,5,629,320,3,9,0,8,60,35,0,20,0,1,0,0,0,631,0
631,heatmor,5,0,321,8,6,0,4,90,50,0,20,0,2,0,0,0,632,0
632,durant,5,0,322,4,14,0,4,90,50,0,20,0,2,0,0,0,633,0
633,deino,5,0,323,2,8,0,4,45,35,0,40,0,1,0,0,0,634,90
634,zweilous,5,633,323,2,8,0,4,45,35,0,40,0,1,0,0,0,635,91
635,hydreigon,5,634,323,2,6,0,4,45,35,0,40,0,1,0,0,0,636,92
636,larvesta,5,0,324,9,14,0,4,45,50,0,40,0,1,0,0,0,637,173
637,volcarona,5,636,324,9,13,0,4,15,50,0,40,0,1,0,0,0,638,174
638,cobalion,5,0,325,2,8,0,-1,3,35,0,80,0,1,0,1,0,639,0
639,terrakion,5,0,326,4,8,0,-1,3,35,0,80,0,1,0,1,0,640,191
640,virizion,5,0,327,5,8,0,-1,3,35,0,80,0,1,0,1,0,641,0
641,tornadus,5,0,328,5,4,0,0,3,90,0,120,0,1,1,1,0,642,0
642,thundurus,5,0,329,2,4,0,0,3,90,0,120,0,1,1,1,0,643,0
643,reshiram,5,0,330,9,9,0,-1,3,0,0,120,0,1,0,1,0,644,197
644,zekrom,5,0,331,1,6,0,-1,3,0,0,120,0,1,0,1,0,645,198
645,landorus,5,0,332,3,4,0,0,3,90,0,120,0,1,1,1,0,646,0
